dimension,categoria,orden_categoria,indicador,media,mediana,p25,p75,p95,p99,se_muestral,ic_muestral_inf,ic_muestral_sup,se_delta,ic_delta_inf,ic_delta_sup,metodo_ic_principal,ic95_inf,ic95_sup,n_valido
edad,45 a 59,3,VoL_predicho,12.80212142023589,8.238038174656925,5.661726183880172,13.386060172059013,39.686694700465615,77.57997024853853,0.32219829126292304,12.170296865405538,13.433945975066242,1.1264753607724105,10.594229713121965,15.010013127349815,delta,10.594229713121965,15.010013127349815,2336
edad,45 a 59,3,VTAW_predicho,8.500818722461918,5.129913460963093,2.767199008229432,9.394171877205597,28.610486672008683,58.97517098436741,0.24871394136432132,8.013095542222016,8.98854190270182,1.1264753607724105,6.292927015347994,10.708710429575843,delta,6.292927015347994,10.708710429575843,2336
edad,45 a 59,3,VoL_observado,15.905636148905659,9.751676307004121,9.350089417379913e-7,19.118536138133514,53.84297442254383,116.61447634600975,0.525426534110063,14.875284980037284,16.935987317774035,NA,NA,NA,t_muestra,14.875284980037284,16.935987317774035,2336
edad,45 a 59,3,VTAW_observado,11.604333451131685,6.576598648868931,-2.0972038182576416,14.970698785518785,43.76178802562603,95.28467908856061,0.46639709270206864,10.68973786368896,12.518929038574411,NA,NA,NA,t_muestra,10.68973786368896,12.518929038574411,2336
edad,45 a 59,3,w,4.301302697773973,3.1063795,2.8446372500000003,4.26165625,11.093695499999999,20.272173650000013,0.07652087992113928,4.151246747129754,4.451358648418191,NA,NA,NA,t_muestra,4.151246747129754,4.451358648418191,2336
edad,60 o mas,4,VoL_predicho,8.35473542007617,6.893883248228467,5.107484788344377,9.053341677980447,17.901862678196135,34.9201475699139,0.2473299705728499,7.869550189401588,8.83992065075075,0.8061865650978259,6.77460975248443,9.934861087667908,delta,6.77460975248443,9.934861087667908,1375
edad,60 o mas,4,VTAW_predicho,4.702321652076169,3.754019518195583,2.2097178388628445,5.813221580281289,10.682651382626643,23.054660739181106,0.16709569382467027,4.374531362184179,5.030111941968158,0.8061865645952896,3.122195985469401,6.282447318682936,delta,3.122195985469401,6.282447318682936,1375
edad,60 o mas,4,VoL_observado,9.901929876519826,7.171454651505461,3.0302386637077063,12.282008162838128,28.996578370013005,58.096523478657886,0.35722077288543647,9.201172735390735,10.602687017648918,NA,NA,NA,t_muestra,9.201172735390735,10.602687017648918,1375
edad,60 o mas,4,VTAW_observado,6.249516108519826,4.05495123652351,-0.027304151361256634,8.796978706180479,22.918011382218157,48.42891653198308,0.3104430361754437,5.640522480415484,6.858509736624168,NA,NA,NA,t_muestra,5.640522480415484,6.858509736624168,1375
edad,60 o mas,4,w,3.652413768,3.072277,2.930521,3.2492235000000003,7.554713699999995,14.224999439999998,0.08482050075170786,3.486022068167451,3.8188054678325494,NA,NA,NA,t_muestra,3.486022068167451,3.8188054678325494,1375
