parametro,Estimate,Std_error,t_ratio,abs_t_ratio
PH,0.2629581948610711,NA,NA,NA
th1,0.7996747254569025,NA,NA,NA
tw,0.29573975224226934,NA,NA,NA
ASC2,-0.020210671339805034,NA,NA,NA
ASC3,-3.13573431362216,NA,NA,NA
ASC4,-2.0795495398108277,NA,NA,NA
ASC5,0.08192497745042793,NA,NA,NA
ASC6,-2.9697488168142105,NA,NA,NA
ASC7,-1.0686692971325547,NA,NA,NA
BAGE65_2,0.4054621220675736,NA,NA,NA
BAGE65_3,0.9722438293727407,NA,NA,NA
BAGE65_5,0.41312488877565307,NA,NA,NA
BCP_3,0.7096368547492456,NA,NA,NA
BCP_4,-1.8372436363246807,NA,NA,NA
BED_2,0.9920122854768806,NA,NA,NA
BED_6,-1.8039475419068536,NA,NA,NA
BESC_2,-0.2178971750176283,NA,NA,NA
BESC_4,-0.43270990616605653,NA,NA,NA
BESC_5,-0.2966963518726189,NA,NA,NA
BFEM_2,0.8423516297860785,NA,NA,NA
BFEM_3,0.9549159376237997,NA,NA,NA
BFEM_4,-0.8780641780934666,NA,NA,NA
BFEM_5,0.5281415927961489,NA,NA,NA
BFEM_6,-0.44962744027566154,NA,NA,NA
BFEM_7,0.7644422914970096,NA,NA,NA
BNTRAB_2,0.14645548358825264,NA,NA,NA
BPAREJA_2,-0.7784804744360236,NA,NA,NA
BPAREJA_3,-0.8012144596077823,NA,NA,NA
BPAREJA_4,-0.5098425417589452,NA,NA,NA
BPAREJA_5,-0.6645894708719439,NA,NA,NA
BPAREJA_6,-0.4123737820131083,NA,NA,NA
BPAREJA_7,-0.5954924955176191,NA,NA,NA
BQ3_5,-0.28342999838315247,NA,NA,NA
BQ4_2,-0.33681013625805056,NA,NA,NA
BQ4_5,-0.4091034637716307,NA,NA,NA
BQ5_2,-0.7542842103994204,NA,NA,NA
BQ5_5,-0.727982966701787,NA,NA,NA
BTC_2,-1.1349713013533824,NA,NA,NA
BTC_4,-2.1757825865621307,NA,NA,NA
BTC_6,-1.2033364798620074,NA,NA,NA
BTC_7,-0.9731757432239091,NA,NA,NA
BTD_2,-0.7928250931029601,NA,NA,NA
BTD_4,-0.8321322229845418,NA,NA,NA
BTD_5,1.144256243104112,NA,NA,NA
BTD_6,-3.0448989151759767,NA,NA,NA
BTEC_2,-0.5608992591575684,NA,NA,NA
BTEC_5,-0.6154305523144219,NA,NA,NA
BTEC_7,-0.2851735945782104,NA,NA,NA
BTMOD_5,-0.050252410105949066,NA,NA,NA
BTMOD_6,0.4806249011936662,NA,NA,NA
BUNI_2,-1.0716902475970262,NA,NA,NA
BUNI_3,-0.8027862079999494,NA,NA,NA
BUNI_4,-1.4072449215263618,NA,NA,NA
BUNI_5,-1.0579705758686706,NA,NA,NA
BUNI_6,-0.9108750586098554,NA,NA,NA
BUNI_7,-0.7574126166628312,NA,NA,NA
BZCEN_4,0.9312820536168527,NA,NA,NA
BZCEN_5,0.2649208140117244,NA,NA,NA
BZCEN_6,-0.5985206971384359,NA,NA,NA
BZSUR_2,-0.5002490073404442,NA,NA,NA
BZSUR_3,-0.45734496462228025,NA,NA,NA
BZSUR_5,-0.3505163915456969,NA,NA,NA
BZSUR_6,-0.6791685139096078,NA,NA,NA
BZSUR_7,-0.3113644421132927,NA,NA,NA
